"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000279609.1","blue",0.887738531227492,3.76650775085701e-277,0.186599342731865,7.61601160831391e-08,0.887738531227492,0.186599342731865,10
"ENSG00000246859.3","blue",0.88489051117626,5.61054187428971e-273,0.13748056858332,7.98755332896345e-05,0.88489051117626,0.13748056858332,11
"ENSG00000283787.2","blue",0.881852999173766,1.20182174720731e-268,0.153015238318414,1.10487450576573e-05,0.881852999173766,0.153015238318414,12
"ENSG00000073711.11","blue",0.87909639930829,8.09457390386391e-265,0.152009035193397,1.26360801515162e-05,0.87909639930829,0.152009035193397,13
"ENSG00000246695.9","blue",0.877762978352369,5.32828778574982e-263,0.175763590946308,4.22111374925635e-07,0.877762978352369,0.175763590946308,14
"ENSG00000146416.19","blue",0.876239442387565,6.00275238524489e-261,0.158807525368561,5.01750724574437e-06,0.876239442387565,0.158807525368561,15
"ENSG00000122477.13","blue",0.875744642156014,2.74706897751181e-260,0.0795547966607825,0.0228789033983589,0.875744642156014,0.0795547966607825,16
"ENSG00000285564.2","blue",0.874341115821784,1.98236970772552e-258,0.105069608305409,0.00262281105363079,0.874341115821784,0.105069608305409,17
"ENSG00000248538.9","blue",0.873870236803436,8.23464725484432e-258,0.154075956821546,9.58194816331892e-06,0.873870236803436,0.154075956821546,18
"ENSG00000252051.1","blue",0.873092233041618,8.55187805737813e-257,0.202491865311049,5.12110306212634e-09,0.873092233041618,0.202491865311049,19
"ENSG00000235070.3","blue",0.872785716782705,2.14124124636296e-256,0.139335097345513,6.37432074861645e-05,0.872785716782705,0.139335097345513,20
"ENSG00000135272.13","blue",0.871274965852739,1.90674530730305e-254,0.156608009099378,6.7939360446584e-06,0.871274965852739,0.156608009099378,21
"ENSG00000185271.9","blue",0.870861114096946,6.45752623719212e-254,0.201492741257499,6.1088680115697e-09,0.870861114096946,0.201492741257499,22
"ENSG00000107282.8","blue",0.86949366969638,3.52857780459272e-252,0.210000828430291,1.32168844229017e-09,0.86949366969638,0.210000828430291,23
